eventID,Agency,year,month,day,hour,minute,second,timeError,longitude,latitude,SemiMajor90,SemiMinor90,ErrorStrike,depth,depthError,magnitude,sigmaMagnitude,str1,dip1,rake1,str2,dip2,rake2
908140,ISC-GEM,1929,6,13,9,24,43.56,,126,8.053,9.6,7.2,,35,25.1,7.21,0.34,,,,,,
908141,ISC-GEM,1929,6,13,19,47,40.51,,126.698,8.445,20.1,14.9,,35,31.1,6.01,0.29,,,,,,
908144,ISC-GEM,1929,6,13,23,0,42.32,,126.932,8.334,13.8,6.8,,35,15,6.23,0.27,,,,,,
908145,ISC-GEM,1929,6,14,23,13,16.55,,126.737,8.476,75.4,33.2,,35,31.1,5.58,0.2,,,,,,
908146,ISC-GEM,1929,6,15,8,58,7.97,,126.868,8.569,61.7,20.9,,35,15,5.79,0.2,,,,,,
908148,ISC-GEM,1929,6,15,19,35,20.15,,127.32,8.764,30.1,13.5,,15,25,5.91,0.3,,,,,,
908149,ISC-GEM,1929,6,15,21,7,49.03,,127.192,8.841,28.1,13.8,,15,16.2,5.64,0.34,,,,,,
908152,ISC-GEM,1929,6,17,10,16,32.16,,126.686,8.443,14.4,12.2,,35,31.1,6.17,0.2,,,,,,
908155,ISC-GEM,1929,6,19,7,30,53.45,,126.709,8.423,15.7,8.7,,35,31.1,6.39,0.26,,,,,,
908159,ISC-GEM,1929,6,20,20,10,32.73,,127.13,8.384,36.3,19.3,,35,15,5.66,0.2,,,,,,
908160,ISC-GEM,1929,6,21,4,40,46.73,,128.215,8.21,56.1,23.6,,35,25,5.56,0.29,,,,,,
908164,ISC-GEM,1929,6,23,21,47,9,,127.312,8.912,33.4,15.3,,15,25,5.79,0.2,,,,,,
908176,ISC-GEM,1929,6,30,2,44,52.74,,126.896,8.813,12.2,7,,30,16.2,6.44,0.2,,,,,,
908178,ISC-GEM,1929,7,2,0,37,59.51,,127.054,8.454,46,31.9,,35,15,5.61,0.2,,,,,,
908203,ISC-GEM,1929,7,9,17,23,33.97,,126.209,9.108,132.2,39.6,,15,46.5,5.6,0.2,,,,,,
908226,ISC-GEM,1929,7,21,13,15,59.25,,124.713,13.658,19,11.2,,35,10.5,5.75,0.2,,,,,,
908227,ISC-GEM,1929,7,23,14,45,37.11,,128.19,4.498,32.1,23.7,,15,35.6,5.68,0.2,,,,,,
908230,ISC-GEM,1929,7,24,2,34,15.15,,128.369,4.467,76.8,32,,15,13.3,5.56,0.66,,,,,,
908274,ISC-GEM,1929,8,19,2,43,9.61,,122.167,23.972,4.9,3.7,,35,6.4,6.63,0.47,,,,,,
908277,ISC-GEM,1929,8,19,20,44,30.34,,122.052,23.802,6.6,5.1,,15,6.4,6.21,0.38,,,,,,
908282,ISC-GEM,1929,8,21,9,26,38.71,,122.087,13.776,28.8,19.2,,35,25,5.65,0.34,,,,,,
908296,ISC-GEM,1929,9,2,11,12,42.05,,126.981,8.181,14.1,10.5,,35,15.6,6.13,0.2,,,,,,
908315,ISC-GEM,1929,9,19,11,3,54.04,,127.73,8.858,41.8,17.4,,15,25,5.73,0.2,,,,,,
908359,ISC-GEM,1929,10,22,18,38,31.11,,121.337,22.638,10.8,5.8,,15,12.3,5.74,0.44,,,,,,
908362,ISC-GEM,1929,10,24,6,34,19.63,,119.539,22.067,10.5,6.3,,15,13.1,6.29,0.26,,,,,,
908379,ISC-GEM,1929,11,5,11,38,13.28,,126.415,8.676,15.4,8,,35,31.1,6.05,0.33,,,,,,
908385,ISC-GEM,1929,11,13,0,34,26.06,,125.302,2.675,79.9,15.1,,15,19.5,6.07,0.21,,,,,,
