eventID,Agency,Identifier,year,month,day,hour,minute,second,timeError,longitude,latitude,SemiMajor90,SemiMinor90,ErrorStrike,depth,depthError,magnitude,sigmaMagnitude,Anthropogenic

863151,ISC-EHB,ISC-EHB|USCGS-mb,1964,11,30,6,25,17.36,,120.758,13.82,13.6,6.9,60.0,200.0,4.7,5.02,0.283,
863156,ISC,ISC|USCGS-mb,1964,11,30,10,10,7.55,0.62,126.817,4.7129,29.91,10.64,67.0,50.0,,5.14,0.283,
861540,ISC,ISC|USCGS-mb,1964,12,1,13,13,20.98,1.29,120.095,13.8965,29.24,14.08,66.0,200.0,,5.14,0.283,
861547,ISC,ISC|USCGS-mb,1964,12,2,1,19,0.36,0.78,120.7569,19.6447,24.9,15.33,68.0,100.0,,4.67,0.283,
861664,ISC-EHB,ISC-EHB|USCGS-mb,1964,12,7,3,39,4.36,,122.334,12.084,16.2,9.4,67.0,26.0,,5.37,0.283,
861729,ISC,ISC|USCGS-mb,1964,12,9,22,51,51.11,0.88,126.7625,4.6835,44.49,19.3,53.0,81.0,,4.9,0.283,
861839,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1964,12,13,13,15,52.93,,121.9,20.111,6.3,5.6,,25.0,8.9,5.83,0.54,
861899,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1964,12,15,5,6,23.63,,126.559,2.268,15.5,7.3,,35.0,18.0,5.59,0.2,
861945,ISC-EHB,ISC-EHB|USCGS-mb,1964,12,16,3,55,19.71,,125.204,5.977,12.1,6.3,59.0,124.0,4.7,5.83,0.283,
861960,ISC-EHB,ISC-EHB|USCGS-mb,1964,12,16,18,26,41.05,,122.065,19.945,16.2,14.6,61.0,22.0,9.8,4.44,0.283,
862113,ISC,ISC|USCGS-mb,1964,12,21,19,23,20.35,0.67,125.0408,13.4965,20.3,9.408,38.0,33.0,,5.72,0.283,
862139,EHB,EHB|USCGS-mb,1964,12,22,18,28,16.8,,126.877,7.785,28.4,14.2,57.0,386.0,14.4,5.02,0.283,
862204,ISC-EHB,ISC-EHB|USCGS-mb,1964,12,25,1,8,28.42,,126.004,8.32,18.7,8.9,61.0,64.0,6.5,5.72,0.283,
862253,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1964,12,27,17,43,22.13,,125.377,12.898,6.6,4.2,,20.0,13.1,5.93,0.29,
860683,ISC,ISC|USCGS-mb,1965,1,1,12,46,42.65,0.47,121.2329,23.6324,6.394,4.521,113.0,11.0,,5.37,0.283,
860737,ISC-EHB,ISC-EHB|USCGS-mb,1965,1,4,11,29,48.82,,127.322,1.825,9.5,6.1,65.0,76.0,,6.06,0.283,
860765,EHB,EHB|USCGS-mb,1965,1,5,20,34,23.2,,120.676,13.959,16.3,6.7,58.0,164.0,5.5,5.14,0.283,
860769,ISC,ISC|USCGS-mb,1965,1,5,23,22,34.86,0.77,126.4022,9.7418,26.85,10.87,67.0,35.0,,5.02,0.283,
860816,ISC-EHB,ISC-EHB|USCGS-mb,1965,1,7,18,49,33.48,,121.04,18.638,15.5,11.2,77.0,10.0,,4.9,0.283,
860818,ISC,ISC|USCGS-mb,1965,1,7,21,17,35.14,0.73,119.8328,17.1516,19.56,9.059,51.0,34.0,,4.21,0.283,
860890,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1965,1,9,13,32,50.26,,126.427,11.938,7.6,4.3,,15.0,6.4,5.82,0.69,
