eventID,datetime,year,month,day,hour,minute,second,latitude,longitude,depth,magnitude,location,magnitudeType,event_type
61286470,2023-03-02 14:32:19+00:00,2023,03,02,14,32,19,9.01,122.38,33,4.8,052 km S 33° W of Basay (Negros Oriental),Mw,TECTONIC
61214675,2016-09-02 12:02:48+00:00,2016,09,02,12,02,48,6.43,123.81,1,4.7,031km S 58° W of Kalamansig (Sultan Kudarat),Ms,TECTONIC
61264418,2021-10-02 23:33:33+00:00,2021,10,02,23,33,33,12.86,120.83,4,4.7,006 km N 75° E of Sablayan (Occidental Mindoro),Mw,TECTONIC
61266656,2022-04-02 08:43:34+00:00,2022,04,02,08,43,34,2.87,127.36,93,4.7,354 km S 37° E of Balut Island (Municipality Of Sarangani) (Davao Occidental),Ms,TECTONIC
61276165,2022-05-02 21:51:49+00:00,2022,05,02,21,51,49,2.64,128.33,257,4.7,445 km S 46° E of Balut Island (Municipality Of Sarangani) (Davao Occidental),Ms,TECTONIC
61284123,2023-07-02 05:40:04+00:00,2023,07,02,05,40,04,8.68,126.06,10,4.6,007 km N 35° W of Lianga (Surigao Del Sur),Mw,TECTONIC
61285216,2023-06-02 16:22:01+00:00,2023,06,02,16,22,01,12.38,123.69,17,4.6,008 km N 85° E of City Of Masbate (Masbate),Ms,TECTONIC
61203614,2015-03-02 21:51:00+00:00,2015,03,02,21,51,00,9.8,126.32,16,4.5,018 km N 83° E of General Luna (Surigao Del Norte),Ms,TECTONIC
61205104,2015-03-02 21:51:00+00:00,2015,03,02,21,51,00,9.8,126.32,16,4.5,018 km N 83° E of General Luna (Surigao Del Norte),Ms,TECTONIC
61208712,2015-03-02 21:51:00+00:00,2015,03,02,21,51,00,9.8,126.32,16,4.5,018 km N 83° E of General Luna (Surigao Del Norte),Ms,TECTONIC
61223384,2018-06-02 17:11:39+00:00,2018,06,02,17,11,39,4.56,126.34,3,4.5,136 km S 45° E of Sarangani (Davao Occidental),Ms,TECTONIC
61238407,2019-10-02 13:53:20+00:00,2019,10,02,13,53,20,13.76,120.33,46,4.5,010 km N 64° E of Looc (Occidental Mindoro),Ms,TECTONIC
